10 3.55e-07 4.05e-07 1.65e-07
30 2.355e-06 2.98e-06 3.39e-06
50 3.66e-06 6.36e-06 4.05e-06
70 6.075e-06 1.203e-05 3.91e-06
90 1.097e-05 2.095e-05 8.005e-06
110 1.277e-05 2.594e-05 6.765e-06
130 1.655e-05 3.5525e-05 8.635e-06
150 2.133e-05 4.5155e-05 8.68e-06
170 2.761e-05 5.715e-05 1.5925e-05
190 4.021e-05 7.505e-05 2.0105e-05
210 3.856e-05 7.9655e-05 1.414e-05
230 4.5215e-05 9.3895e-05 1.6135e-05
250 5.406e-05 0.00011252 1.9445e-05
270 7.14e-05 0.00013706 2.3375e-05
290 0.00018524 0.000267505 4.821e-05
310 8.985e-05 0.000176675 2.5015e-05
330 0.000143345 0.000229515 4.7025e-05
350 0.00016057 0.00027235 5.1405e-05
370 0.00017751 0.000303485 5.2845e-05
390 0.000169775 0.00029859 4.604e-05
410 0.000178025 0.000324285 4.746e-05
430 0.00018926 0.00035151 4.7425e-05
450 0.000258225 0.00041302 6.229e-05
470 0.00029969 0.000632915 0.00025604
490 0.000318815 0.000559105 7.932e-05
510 0.000348435 0.0005981 6.4525e-05
530 0.000449255 0.00063532 9.691e-05
550 0.00030451 0.000536925 5.291e-05
570 0.000299615 0.000549915 5.009e-05
590 0.00028734 0.00056285 5.479e-05
610 0.00038484 0.00081141 6.7145e-05
630 0.000533075 0.00114369 7.32e-05
650 0.000537795 0.00085074 7.597e-05
670 0.00087478 0.00129289 0.00011773
690 0.00088088 0.00170537 0.000186105
710 0.000894635 0.00132064 0.00014819
730 0.001005 0.00143342 0.0001338
750 0.00083777 0.00133024 0.000117075
770 0.000691885 0.00137562 0.00011161
790 0.0009326 0.00153636 0.00019112
810 0.00082557 0.00133523 0.00012779
830 0.00085025 0.00133816 0.000107825
850 0.00070349 0.0012823 8.8965e-05
870 0.0007031 0.00123081 8.053e-05
890 0.00071201 0.00130925 8.79e-05
910 0.000777675 0.00139672 9.002e-05
930 0.00082158 0.00157789 9.2655e-05
950 0.000721595 0.00142386 7.9995e-05
970 0.00107574 0.00205066 0.00011849
990 0.00106673 0.00210698 0.00011158
